comment,label
Coin <3 <3 <3,0
Hello I'm new to Biticon and crypto trade and I have been making huge losses but I recently see a lot of people earning from it. Can someone please tell me what i'm doing wrong,0
Please do a whole breakdown on how to get into this,0
First,0
Can you tell me how I can trade? I've heard so much about cryptocurrency (bitcoin in particular)!?,1
If you're talking about cryptocurencies the best way for that is just to start mining or buying recently listed altcoins then build from there,0
It was awesome thankyou very very much ,0
Thanks Ali this is so helpful <3,1
What index to invest in?,0
Nice video !!! Keep the good work coming,0
I will forever appreciate this channel you've helped my family alot your videos advice lessons and funny words are inspirational and helpful to us. My husband and I have been able to be minimal conscious in spending saving and investing wisely I now earn every week. You're such a blessing to this generation. we all love you,1
bit of crypto currency at the present time! Although i fancy trading over hodling because of its productivity and extra information on crypto by and large. Overtime,1
With the current increase in the market I see Cryptocurrency as ultimately becoming a reserve currency for banks  playing much the same role as gold did in the early days of banking . Banks could issue digital cash with greater anonymity and lighter weight  more efficient transactions,0
Would love an updated video on your gains/ losses hiccups and overall experience in the 2+ yrs,0
I have lost so much through investing cause I was new and didn't meet the right one to invest with. I was at the verge of quilting till I was introduced to ELITECAPITALLIMITED and my story changed with the 72k..,1
What is your prediction for SOLANA and BITCOIN ?,0
I don't know why i bought dogecoin I'm in -75% in value. But still hodling and it stupid and funny.,0
As a financial manager cryptocurrency is profitable but not as easy as it seems this is the best video so far,0
60k now lol,0
Coin...,0
I count myself to be successful in trading with the help of my broker her strategies are top notch,1
so brian im confused so whats the difference btw the first security key and the ledger nano x???,1
I 've never seen something do it better,1
NFT somehow brings to mind a ponzi scheme...,0
Hi there have you had about the updated crypto market I really tried to buy but I got a big loss ,0
Do you think I would be able to reach my goal if I start off with Vladimir Corp,1
It worked for me thanks Ethical Liam hacks on ig,0
I can't believe I've watched more than 50 videos of this great guy and I just subscribed today.,0
How does he know that?,0
Thank you very much.... This was very valuable,0
Great fashion advice  I'm diggin' the hat and t-shirt ,0
Nice one.,0
How do we minimize loss and maximize profit? In every thing we're bound to meet hurdles but how are we able to earn irrespective of the hurdles??,0
thanks I understand a lot things,0
The retail investors is not getting the best execution on the market... in my opinion the sec is aware of the current status of what's happening.... Everything is sequential until the green light is given godspeed to you all,1
Even though this was an AMAZING video I'm still wondering if I can do all of that from a country called Bolivia. Can I buy stocks from the US while being in Bolivia? Do I have to have an account with an American bank to be able to keep my money in dollars?,0
I will go back again to learned more..,0
Are these slides available anywhere for download?,0
Lol and now this part time nurse/ quack has become a stock market expert. Awesome. He probably gets his advice from tick-tock investors. Seriously buzz off.,0
GOD BLESS YOUR COMPANY ITECHHACKERSCOM YOU SURPRISE ME AGAIN THANKS,1
 I we continue to appreciate you for put a smile on face you have restored my hope back to me my bitcoin wallet as been recovered by him thanks bro much ....,1
<I must say. Bitcoins price action has been fluctuating throughout the past few days and weeks with bulls and bears both reaching a clear impasse the aggregated cryptocurrency market has been following in Btcoins lead and is struggling to garner any decisive momentum. One analyst is now noting that BTC has been holding above a key macro level throughout the past few months. He believes that the recent consolidation above this level bodes well for its near-term outlook and could indicate that significantly further upside is imminent in the weeks and months ahead. Tips like this are why its advisable for investors and newbies to trade with the help of pro traders like mr Chen lawrence. He is always one step ahead of other traders he fully monitored all my trades to avoid me making mistakes and losing my money. My earnings have increased drastically from 1.01 BTC to 9.700 BTC in just 4 weeks using his strategy. You can easily get hold of him for a profitable system on TE LE GRAM (@ chentradingi..,1
I'm 15. I will start investing. School is not working out for me (i just cant go to school). I got a pretty okay job $9/h. I will start with $100 every months in Voo. Work 5 is min walk from house. I will update in 5 years how everything is! (writing this down),1
I came here to learn how to invest after listening to a guy on radio talk about the importance of investing and how he made $420000 in 4 months from $140k somehow this video has helped shed light on some things but I still am confused I'm a newbie and I'm open to ideas on how to invest for retirement...,1
Vladimircorp is the best in the whole world when it comes to credit management,1
There's nothing compared to trade Bitcoin I speak from experience.,0
I HAVE BEEN MAKING LOSSES TRADING MYSELE...I THOUGHT TRADING ON DEMO ACCOUNT IS JUST LIKE TRADING THE REAL MARKET... CAN ANYONE HELP ME OUT OR AT LEAST ADVICE ME ON WHAT TO DO.,1
The best investment one can do right now is investing on forex or crypto currency though stocks are good but ever since I swapped to forex and crypto I have been earning much from it.,0
Aun's cat be like - Bitcoin or a bit of cat food ?,0
dude you better add humor to your vids. By the way what do you feel of CHAD($CHAD)? Is it worth investing?,1
So far so good future brian,1
Isnt a way to buy and trade without these platforms in the middle???  Cause if there is a plataform in the middle it will still be a registration of the transaction!!,0
What are you guys holding?,0
I want to advertise on your side do not know how to contact you,0
Coin love the videos man ,0
Thanks. Experts are always the best in forex and cryptos ,0
Thank God i met jasonmaddison2020 on !G  their service is the best and their reflection is instant,1
Best smile an personality award forget turo! Nawh jk great info appreciate your energy! Put down momma we all need guidance! Great work giving it back an no higher level of learning but teaching! Keep it up God bless!! Topbrandwave,1
To the person that reads this you will end 2021 strong!!,0
You know everyone is looking for the next Bitcoin but thats like looking for the next Wheel or the next internal combustion engine. You can sit there on your porch and wait while were all buzzing by in our motor cars but even if you live to be a hundred you might not see another one...,0
Videos content easily beats 1k  that I've spent to learn less on a course  ,0
I really appreciate you for the way you handled the situation you give me,1
honestly the hardest part is starting. but once you have put money in you kinda forget that it is real money and everything becomes much easier,0
My parents - Do you know what is crypto me- NO *mrwhostheboss posts* me- watches video me after the video-  *breaking news child prodigy invests in crypto*,1
Trying to process the information just fried my brain ,0
Vancat ,0
We help re-cover lost crypto and cash the diam company is easy and very reliable,0
here for the info not for you to get referral money....heard you the first 5 times...nice content though,0
850crypto @ !G is the greatest of all time,1
Amazing video buddy. Well done and more so thank you,0
they are really amazing realSOURCEinvestmentORG.,1
I salute you mr Hemcracks youre indeed a great man ,1
The secret of your future is hidden in your daily routine. Successful people do daily what the  only occasionally.,0
Much easier to understand than most people!,0
I have been watching some videos and I was thinking about investing but still don't know where to start from.,1
This Video is well done !! everyone planning to jump into cryptocurrency should watch it carefully and take notes!,0
CHAMPION RARELY TALKS. THEY JUST PERFORM AND THE WORLD AROUND THEM TALKS.  *WITH JOHNCLECKS G* THINGS WILL TURN AROUD FOR GOD,1
